,player_id,year,games,at_bats,runs,hits,double,triple,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strike_outs,weight,height,birth_region_ASIA_MIDDLEEAST,birth_region_AUSTRALIA_OCEANIA,birth_region_CENTAMERICA_CARRIBEAN,birth_region_EUROPE_RUSSIA,birth_region_SOUTHAMERICA,birth_region_UNKNOWN,birth_region_US_CAN,dom_bat_hand_B,dom_bat_hand_L,dom_bat_hand_R,dom_throw_hand_L,dom_throw_hand_R,all_star
3595,hillsh01,2004,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,180.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3596,hillsh01,2006,6,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,180.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3597,hillst01,2010,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,71.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3598,hillst01,2012,9,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,71.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3599,hinshal01,2008,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,74.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3600,hinshal01,2009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,74.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3601,hottoto01,2011,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,73.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3602,hottoto01,2012,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,73.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3603,hudsoor01,2002,54,192.0,20.0,53.0,10.0,5.0,4.0,23.0,0.0,1.0,11.0,27.0,190.0,72.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3604,hudsoor01,2003,142,474.0,54.0,127.0,21.0,6.0,9.0,57.0,5.0,4.0,39.0,87.0,190.0,72.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3605,huffau01,2000,39,122.0,12.0,35.0,7.0,0.0,4.0,14.0,0.0,0.0,5.0,18.0,225.0,76.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3606,huffau01,2001,111,411.0,42.0,102.0,25.0,1.0,8.0,45.0,1.0,3.0,23.0,72.0,225.0,76.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3607,hughelu01,2010,2,7.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,205.0,71.0,0,1,0,0,0,0,0,0,0,1,0,1,False
3608,hughelu01,2011,96,287.0,31.0,64.0,12.0,0.0,7.0,30.0,3.0,2.0,24.0,79.0,205.0,71.0,0,1,0,0,0,0,0,0,0,1,0,1,False
3609,igarary01,2010,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,71.0,1,0,0,0,0,0,0,0,0,1,0,1,False
3610,igarary01,2011,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,71.0,1,0,0,0,0,0,0,0,0,1,0,1,False
3611,isrinja01,1995,14,27.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,235.0,75.0,0,0,0,0,0,0,1,0,0,1,0,1,True
3612,isrinja01,1996,27,51.0,5.0,13.0,2.0,0.0,2.0,9.0,0.0,0.0,3.0,15.0,235.0,75.0,0,0,0,0,0,0,1,0,0,1,0,1,True
3613,jacobmi02,2005,30,100.0,19.0,31.0,7.0,0.0,11.0,23.0,0.0,0.0,10.0,22.0,210.0,75.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3614,jacobmi02,2006,136,469.0,54.0,123.0,37.0,1.0,20.0,77.0,3.0,0.0,45.0,105.0,210.0,75.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3615,jimenlu01,2012,7,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,280.0,75.0,0,0,0,0,1,0,0,0,1,0,1,0,False
3616,johnsni01,2001,23,67.0,6.0,13.0,2.0,0.0,2.0,8.0,0.0,0.0,7.0,15.0,235.0,75.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3617,johnsni01,2002,129,378.0,56.0,92.0,15.0,0.0,15.0,58.0,1.0,3.0,48.0,98.0,235.0,75.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3618,jonesan01,1996,31,106.0,11.0,23.0,7.0,1.0,5.0,13.0,3.0,0.0,7.0,29.0,225.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,True
3619,jonesan01,1997,153,399.0,60.0,92.0,18.0,1.0,18.0,70.0,20.0,11.0,56.0,107.0,225.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,True
3620,jonesch06,1993,8,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,210.0,76.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3621,jonesch06,1995,140,524.0,87.0,139.0,22.0,3.0,23.0,86.0,8.0,4.0,73.0,99.0,210.0,76.0,0,0,0,0,0,0,1,1,0,0,0,1,True
3622,kaaihki01,2008,12,21.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,240.0,76.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3623,kaaihki01,2010,52,180.0,22.0,39.0,6.0,1.0,8.0,25.0,0.0,1.0,24.0,39.0,240.0,76.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3624,karstje01,2006,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,75.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3625,karstje01,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,75.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3626,kennead01,1999,33,102.0,12.0,26.0,10.0,1.0,1.0,16.0,0.0,1.0,3.0,8.0,195.0,71.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3627,kennead01,2000,156,598.0,82.0,159.0,33.0,11.0,9.0,72.0,22.0,8.0,28.0,73.0,195.0,71.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3628,kinnejo01,2006,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3629,kinnejo01,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3630,komater01,2012,15,19.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,175.0,70.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3631,komater01,2012,15,32.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,175.0,70.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3632,lahaibr01,2008,45,136.0,15.0,34.0,4.0,0.0,3.0,10.0,0.0,1.0,13.0,40.0,245.0,77.0,0,0,0,0,0,0,1,0,1,0,0,1,True
3633,lahaibr01,2011,20,59.0,9.0,17.0,5.0,1.0,2.0,6.0,0.0,0.0,9.0,18.0,245.0,77.0,0,0,0,0,0,0,1,0,1,0,0,1,True
3634,laporma01,2009,52,181.0,29.0,46.0,13.0,0.0,7.0,21.0,2.0,0.0,12.0,37.0,215.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3635,laporma01,2010,110,376.0,41.0,83.0,15.0,1.0,12.0,41.0,0.0,0.0,46.0,82.0,215.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3636,leeca01,1999,127,492.0,66.0,144.0,32.0,2.0,16.0,84.0,4.0,2.0,13.0,72.0,270.0,74.0,0,0,1,0,0,0,0,0,0,1,0,1,True
3637,leeca01,2000,152,572.0,107.0,172.0,29.0,2.0,24.0,92.0,13.0,4.0,38.0,94.0,270.0,74.0,0,0,1,0,0,0,0,0,0,1,0,1,True
3638,lewisfr02,2006,13,11.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,205.0,74.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3639,lewisfr02,2007,58,157.0,34.0,45.0,6.0,2.0,3.0,19.0,5.0,1.0,19.0,32.0,205.0,74.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3640,lidgebr01,2002,6,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,210.0,77.0,0,0,0,0,0,0,1,0,0,1,0,1,True
3641,lidgebr01,2003,78,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,210.0,77.0,0,0,0,0,0,0,1,0,0,1,0,1,True
3642,linch01,2012,9,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,180.0,72.0,1,0,0,0,0,0,0,0,0,1,0,1,False
3643,lopezjo01,2004,57,207.0,28.0,48.0,13.0,0.0,5.0,22.0,0.0,1.0,8.0,31.0,205.0,72.0,0,0,0,0,1,0,0,0,0,1,0,1,True
3644,lopezjo01,2005,54,190.0,18.0,47.0,19.0,0.0,2.0,25.0,4.0,2.0,6.0,25.0,205.0,72.0,0,0,0,0,1,0,0,0,0,1,0,1,True
3645,lopezro01,2000,6,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,185.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3646,lopezro01,2002,33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,185.0,73.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3647,louxsh01,2002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3648,louxsh01,2003,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3649,luebkco01,2010,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,205.0,76.0,0,0,0,0,0,0,1,0,0,1,1,0,False
